Company Name,Title,Description,Location,Started On,Finished On
Endemol,"Security Specialist, Microsoft FIM 2010 Solution Developer",Developing custom components.for Microsoft Forefront Identity Manager 2010 Amongst:  * Integrating the Microsoft GDI+ stack to FIM workflow. Providing graphical component services to FIM. * Self Service Security Portal * Generic Enterprise rights management workflows.,,Jul 2010,Jul 2013
Atos,"Security Specialist, Lead Microsoft FIM 2010 Solution Developer (on behalf of Philips)","Third line engineer, providing support to ATOS in helping them to upgrade Philips identity management solution to a new version of the software. Attending meetings with ATOS and Philips to layout technical strategy based on their requirements.",,Oct 2011,Jan 2012
Philips,Security Specialist Microsoft FIM 2010 Solution Architect and Developer,Microsoft FIM 2010 Business Process Management Chain integration.  * Custom password portal for internal and external staffing. * SAP XI/PI integration Services. * Sun Solaris integration Services. * Architecting an Enterprise Rights Management module,,Nov 2009,Dec 2011
TNO,"Security Specialist, Microsoft FIM 2010 Solution Developer",Supporting TNO to transition from classic hierarchical company to a Matrix organization. This posed some challenges in security for the application landscape.   Design and Development custom workflows and Management Agents for FIM 2010 in Microsoft Visual Studio C# 2010 amongst Microsoft Sharepoint Governance and Microsoft Crm governance.  Integration with SAP PI through Microsoft Biztalk.,,Sep 2010,Jan 2011
European Space Agency,Architect / Lead Software Engineer (space incubation program),"Providing technical proposals in regards to Aerospace and Oil industry related industrial applications.  Architecting / developing realtime 3D applications interfacing with satelite systems, oil installations.  Software is a complete turnkey solution involving 3D / Virtual reality alarm monitoring of complex industrial installations containing 20.000+ parameters, tightly coupled with hardware interfaces such as touch screen consoles and ergonomic control room desks.  Recruiting / staffing software developers. Testing code deliveries, merging source repository branches. Refactoring / optimizing code deliveries supportive to iterative software development.",,Jan 2008,Jan 2011
NijghVersluys,Augmented Reality Software Architect,Architect Augmented Reality software and managing a team of programmers for the E-Learning industry as part of sales pitch.,,2009,Mar 2010
Ballast Nedam,Virtual Reality Consultant,Design of a 3D virtual reality environment. Producing animation of a VR supermarket shopping experience.,,Nov 2009,Dec 2009
Wolters Kluwer,Software Architect,"Development of a Sales Risk financial extranet application where actual sales, budgets and estimated figures are being consolidated from diverse ERP systems across Europe. This is beneficial to new product development (NPD).",,Nov 2006,Jan 2008
UWV,Software Architect,"Wrote a software architecture document for a web based application which provisions user accounts to an authentication provider called DigiD. A System administrator can search provisioned users, upload excel sheets which contains new users to be provisioned / deprovisioned. The excel sheet is persisted in an Oracle backend database, a flatfile is created which can be consumed by DigiD. Took responsibility as lead/head developer.",,Oct 2004,Nov 2007
Unisys,Senior Software Engineer / Architect,Senior Software Engineer / Architect  Working mainly for UWV. Other projects included a Digital Asset Management framework for Slavenburg and A .NET Build platform for RDW.,,Dec 2004,Feb 2007
UWV,Sofware Architect / Developer,Designing intelligent and secure web browser based client caching mechanisms for RSA ClearTrust user authorisation. The client cache size is kept to a minimum by just storing the autorisation vector based bitmap. The mechanism services 400.000 users and reduces overhead/round trips to and from the demilitarized zone to the secured backend running the RSA web service processing layers.,,Jan 2004,Feb 2007
Cordares,.NET Consultant,Consultant for several UWV business case scenario's.,,2004,2004
Univentio / LexisNexis,Architect / Software Engineer,"Architecting and development of software for patent datawarehousing. The solution can provision legal firms with patent information in various formats such as XML, PDF. The design contains many patterns used to aggregate and filter patent source documents from authorities all over the world from all kinds of formats such as EBCDIC, SGML, HTML, XML and FullText issued from 1960 till present. This solution is a true framework specially written for this industry. Univentio has been acquired by LexisNexis which adds millions of patent documents to their 4 Billion collection.",,Jan 2003,Jun 2003
Mediaweb,Software Architect / Web developer,,"Noordwijk-Binnen, South Holland, Netherlands",1995,2000
Bullet Sound Studios,"Songwriter / Engineer for Razzle Dazzle - ""Pick up the Fiddle"".","Songwriter for the 1994 Country House Dance hit of Razzle Dazzle - ""Pick up the Fiddle"". and co-sound engineer for this production at Bullet Sound Studio's. http://bulletsoundstudios.com/  Together with:  * E'velyne Derks (Female Lead Vocals) * Alan Michael (Male Lead Vocals) * H.J. Sperwer (Co-writer) * Tjeerd van Zaanen (Audio engineering)",Nederhorst Den Berg,1994,Dec 1994
